2025-06-08 16:25:07.294 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:07.304 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:07.317 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:07.329 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:07.341 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:07.353 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:07.365 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:07.376 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:07.388 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:07.405 [info] > git rev-parse --show-toplevel [0ms]
2025-06-08 16:25:07.416 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:07.425 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:07.434 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:07.444 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:07.462 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:08.436 [info] > git rev-parse --show-toplevel [38ms]
2025-06-08 16:25:08.465 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:08.482 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:08.495 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:08.511 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:08.527 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:08.547 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:08.563 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:08.596 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:08.611 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:08.622 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:08.633 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:08.647 [info] > git rev-parse --show-toplevel [7ms]
2025-06-08 16:25:08.662 [info] > git rev-parse --show-toplevel [8ms]
2025-06-08 16:25:08.681 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:09.080 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:09.094 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:09.104 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:09.717 [info] > git rev-parse --show-toplevel [0ms]
2025-06-08 16:25:10.535 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:26:09.334 [info] > git rev-parse --show-toplevel [57ms]
